Titel;Stand;Datum
Bundesgesetz betreffend die Kranken- und Unfallversicherung mit Einschluss der Militärversicherung;Abgestimmt am; 20.05.1900
Bundesbeschluss über ausserordentliche Hilfeleistungen an kriegsgeschädigte Auslandschweizer;Abgestimmt am; 20.06.1954
Bundesbeschluss über den Fähigkeitsausweis im Schuhmacher-, Coiffeur-, Sattler- und Wagnergewerbe;Abgestimmt am; 20.06.1954
Bundesgesetz betreffend die Ordnung des Arbeitsverhältnisses;Abgestimmt am; 21.03.1920
Bundesgesez betreffend die politischen Rechte der Niedergelassenen und Aufenthalter und den Verlust der politischen Rechte der Schweizerbürger;Abgestimmt am; 21.10.1877
Bundesgesez betreffend den Militärpflichtersaz;Abgestimmt am; 21.10.1877
Bundesgesetz betreffend die Erwerbung und den Betrieb von Eisenbahnen für Rechnung des Bundes und die Organisation der Verwaltung der schweizerischen Bundesbahnen;Inkrafttreten am; 22.02.1898
Bundesgesetz über die Ergänzung des Bundesgesetzes vom 13. Juni 1928 betreffend Massnahmen gegen die Tuberkulose;Abgestimmt am; 22.05.1949
Bundesbeschluss über die Innovationsrisikogarantie zugunsten von kleinen und mittleren Unternehmen;Abgestimmt am; 22.09.1985
Elektrizitätsmarktgesetz (EMG);Abgestimmt am; 22.09.2002
Bundesgesetz über die berufliche Alters-, Hinterlassenen- und Invalidenvorsorge (BVG) (Reform der beruflichen Vorsorge);Abgestimmt am; 22.09.2024
Bundesgesez über die Ausgabe und Einlösung von Banknoten;Abgestimmt am; 23.04.1876
Bundesgesez über die politische Stimmberechtigung der Schweizerbürger;Abgestimmt am; 23.05.1875
Bundesgesetz betreffend die Arbeitszeit beim Betriebe der Eisenbahnen und anderer Verkehrsanstalten;Inkrafttreten am; 23.11.1920
Bundesgesetz betreffend Abänderung des Bundesstrafrechts vom 4. Februar 1853 in bezug auf Verbrechen gegen die verfassungsmässige Ordnung und innere Sicherheit und in bezug auf die Einführung des bedingten Strafvollzugs;Abgestimmt am; 24.09.1922
Bundesgesetz über die Reform der Altersvorsorge 2020;Abgestimmt am; 24.09.2017
Bundesgesetz über die Abgabe für die Benützung von Nationalstrassen (Nationalstrassenabgabegesetz, NSAG);Abgestimmt am; 24.11.2013
Bundesbeschluss über den Ausbauschritt 2023 für die Nationalstrassen;Abgestimmt am; 24.11.2024
Obligationenrecht (Mietrecht: Kündigung wegen Eigenbedarfs);Abgestimmt am; 24.11.2024
Obligationenrecht (Mietrecht: Untermiete);Abgestimmt am; 24.11.2024
Bundesbeschluss über den Transport von Personen und Sachen mit Motorfahrzeugen auf öffentlichen Strassen (Autotransportordnung);Abgestimmt am; 25.02.1951
Bundesgesetz über den Erwerb von Grundstücken durch Personen im Ausland (BewG);Abgestimmt am; 25.06.1995
Bundesgesetz über die Verrechnungssteuer (Verrechnungssteuergesetz, VStG) (Stärkung des Fremdkapitalmarkts);Abgestimmt am; 25.09.2022
Bundesgesetz betreffend Ergänzung des Bundesgesetzes über das Bundesstrafrecht der schweizerischen Eidgenossenschaft vom 4. Februar 1853;Abgestimmt am; 25.10.1903
Bundesgesetz über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz);Inkrafttreten am; 26.09.2020
